h2_tank_kg,total_annual_cost_musd,lcoe_usd_per_mwh,annual_unmet_mwh,h2_max_used_kg,h2_tank_utilization,critical_load_served_ratio,eens_mwh,survivable_outage_h
5000,3.667486603235518,352.4097490216059,0.0,3169.0156885688575,0.6338031377137715,1.0,0.0,48.0
10000,3.965968917593657,381.0909928460663,0.0,5669.015688568857,0.5669015688568857,1.0,0.0,48.0
15000,4.264451231951797,409.7722366705267,0.0,8169.015688568857,0.5446010459045905,1.0,0.0,48.0
20000,4.562933546309936,438.4534804949871,0.0,10669.015688568858,0.5334507844284428,1.0,0.0,48.0
25000,4.861415860668075,467.1347243194474,0.0,13169.015688568858,0.5267606275427543,1.0,0.0,48.0
30000,5.159898175026214,495.8159681439078,0.0,15669.015688568858,0.5223005229522952,1.0,0.0,48.0
40000,5.756862803742493,553.1784557928287,0.0,20669.015688568863,0.5167253922142215,1.0,0.0,48.0
50000,6.35382743245877,610.5409434417494,0.0,25669.015688568863,0.5133803137713773,1.0,0.0,48.0
