scenario,label,annualized_capital_usd,fixed_om_usd,diesel_fuel_usd,carbon_cost_usd,variable_om_usd,unmet_load_penalty_usd,total_annual_cost_usd,lcoe_usd_per_mwh_served
battery_only,PV + battery,1421557.4616934303,376500.0,0.0,0.0,9149.174228975,17432392.31025,19239598.946172405,2220.7277671713805
diesel_battery,PV + diesel + battery,650367.2583710315,172250.0,1428862.0595524001,0.0,1065.6342205799997,0.0,2252544.952144012,216.44756625054043
battery_hydrogen,PV + battery + hydrogen,3113078.691012572,824500.0,0.0,0.0,24734.7435872262,0.0,3962313.434599798,380.73961579529674
