parameter,config_section,baseline_value,low_value,high_value,requires_lp_resolve,baseline_crossover_usd_per_mwh,low_crossover_usd_per_mwh,high_crossover_usd_per_mwh,low_shift_usd_per_mwh,high_shift_usd_per_mwh,crossover_span_usd_per_mwh
pv_usd_per_kw,costs,1200.0,720.0,1440.0,False,378.25079011343064,279.4250146013439,427.6636778694739,-98.82577551208675,49.41288775604323,148.23866326812998
h2_tank_usd_per_kg,costs,500.0,100.0,600.0,False,378.25079011343064,304.719707143128,396.63356085600634,-73.53108297030263,18.3827707425757,91.91385371287834
electrolyzer_usd_per_kw,costs,900.0,360.0,1080.0,False,378.25079011343064,328.6173091084763,394.79528378174876,-49.63348100495432,16.544493668318125,66.17797467327244
fuel_cell_usd_per_kw,costs,1400.0,560.0,1680.0,False,378.25079011343064,344.27942978115084,389.5745768908572,-33.9713603322798,11.323786777426562,45.29514710970636
battery_energy_usd_per_kwh,costs,250.0,150.0,300.0,False,378.25079011343064,370.89768181640034,381.92734426194573,-7.353108297030303,3.6765541485150948,11.029662445545398
fuel_cell_efficiency_lhv,defaults,0.5,0.4,0.65,True,378.25079011343064,378.6222163376974,377.9079351371844,0.3714262242667701,-0.34285497624625805,0.7142812005130281
electrolyzer_efficiency_lhv,defaults,0.67,0.55,0.8,True,378.25079011343064,378.57494390915434,378.0093630676572,0.32415379572370284,-0.24142704577343466,0.5655808414971375
